unique_id	str_order	occ_cur	T_mean_sum	T_inertia	featureid
748	1	0.993089517	13.31249854	492.5608979	201476373
753	1	0.967339829	15.66258864	342.3110338	201476374
735	4	0.967339829	15.66258864	342.3110338	201476374
752	1	0.967339829	15.66258864	342.3110338	201476374
751	4	0.967339829	15.66258864	342.3110338	201476374
734	4	0.967339829	15.66258864	342.3110338	201476374
694	3	0.827785049	17.31897222	173.8016673	201476378
695	3	0.827785049	17.31897222	173.8016673	201476378
757	1	0.874657348	16.99698891	167.8008546	201476379
755	1	0.874657348	16.99698891	167.8008546	201476379
758	1	0.874657348	16.99698891	167.8008546	201476379
754	2	0.874657348	16.99698891	167.8008546	201476379
756	1	0.874657348	16.99698891	167.8008546	201476379
761	1	0.97524768	15.02167069	189.0539291	201476384
762	1	0.97524768	15.02167069	189.0539291	201476384
760	1	0.974645636	16.38360001	166.2168589	201476385
764	1	0.971739057	15.41032629	279.4650703	201476386
766	4	0.971739057	15.41032629	279.4650703	201476386
724	4	0.971739057	15.41032629	279.4650703	201476386
763	1	0.971739057	15.41032629	279.4650703	201476386
731	4	0.971739057	15.41032629	279.4650703	201476386
765	4	0.971739057	15.41032629	279.4650703	201476386
774	1	0.949866347	16.6455938	207.5577459	201476387
773	4	0.949866347	16.6455938	207.5577459	201476387
771	4	0.949866347	16.6455938	207.5577459	201476387
750	4	0.949866347	16.6455938	207.5577459	201476387
749	1	0.949866347	16.6455938	207.5577459	201476387
721	1	0.949866347	16.6455938	207.5577459	201476387
777	1	0.949866347	16.6455938	207.5577459	201476387
778	1	0.949866347	16.6455938	207.5577459	201476387
772	4	0.949866347	16.6455938	207.5577459	201476387
769	1	0.949866347	16.6455938	207.5577459	201476387
770	4	0.949866347	16.6455938	207.5577459	201476387
775	1	0.949866347	16.6455938	207.5577459	201476387
776	1	0.949866347	16.6455938	207.5577459	201476387
779	1	0.988390299	14.52529842	211.2417545	201476388
780	1	0.949513342	14.52721839	203.2352468	201476389
710	6	NA	NA	NA	201476390
783	1	0.692411048	17.7025406	155.9620033	201476391
784	1	0.692411048	17.7025406	155.9620033	201476391
782	2	0.692411048	17.7025406	155.9620033	201476391
714	2	0.987065977	14.70469724	318.4534741	201476392
785	1	0.987065977	14.70469724	318.4534741	201476392
787	2	0.987065977	14.70469724	318.4534741	201476392
786	1	0.987065977	14.70469724	318.4534741	201476392
788	1	0.987065977	14.70469724	318.4534741	201476392
768	1	0.993329302	13.81043557	380.0327332	201476393
767	1	0.993329302	13.81043557	380.0327332	201476393
789	1	0.987942962	13.75158704	293.5662846	201476400
790	1	0.922432402	17.41405446	174.5166158	201476404
794	2	0.781304556	17.35708997	161.8185384	201476405
798	2	0.781304556	17.35708997	161.8185384	201476405
792	2	0.781304556	17.35708997	161.8185384	201476405
801	1	0.781304556	17.35708997	161.8185384	201476405
793	1	0.781304556	17.35708997	161.8185384	201476405
800	1	0.781304556	17.35708997	161.8185384	201476405
797	1	0.781304556	17.35708997	161.8185384	201476405
796	1	0.781304556	17.35708997	161.8185384	201476405
795	2	0.781304556	17.35708997	161.8185384	201476405
802	1	0.781304556	17.35708997	161.8185384	201476405
799	2	0.781304556	17.35708997	161.8185384	201476405
781	6	NA	NA	NA	201476406
803	3	0.803984466	16.19613047	206.6066176	201476407
808	1	0.758094361	15.97449999	186.6770727	201476408
807	1	0.758094361	15.97449999	186.6770727	201476408
806	1	0.758094361	15.97449999	186.6770727	201476408
805	2	0.758094361	15.97449999	186.6770727	201476408
811	2	0.961293779	16.64257369	165.9234989	201476414
